SubjectNumber,Gender,Age,Site,BirthState,Occupation,Education,NumberOfChildren,Fitness,CarMake,CarYear,CarModel,Race,ReportedHeight,ReportedWeight,MaritalStatus,FamilyIncome,ShoeSize,JacketSize,PantsSizeWaist,PantsSizeInseam,BlouseSize,PantsSizeWoman,BraSize,AcromialHeight_Sitting,AnkleCircumference,Spine_to_Shoulder,Spine_to_Elbow,ArmLength_SpineToWrist,ArmLength_ShoulderToWrist,ArmLength_ShoulderToElbow,ArmscyeCircumference_ScyeCircOverAcromion,BizygomaticBreadth,ChestCircumference,Bust_ChestCircumferenceUnderBust,Buttock_KneeLength,ChestGirthAtScye_ChestCircumferenceAtScye,CrotchHeight,ElbowHeight_Sitting,EyeHeight_Sitting,FaceLength,FootLength,HandCircumference,HandLength,HeadBreadth,HeadCircumference,HeadLength,HipBreadth_Sitting,HipCircumference_Maximum,HipCircMaxHeight,KneeHeight,NeckBaseCircumference,ShoulderBreadth,SittingHeight,Stature,SubscapularSkinfold,ThighCircumference,ThighCircumferenceMaxSitting,ThumbTipReach,TTR1,TTR2,TTR3,TricepsSkinfold,TotalCrotchLength_CrotchLength,VerticalTrunkCircumference,WaistCircumference_Pref,WaistFrontLength,WaistHeight_Preferred,Weight,Var1,Var2,Var3,CupSize
16,Male,28,Los Angles CA,West,White Collar,16,0,8,Luxury,1995,Sedan,Hispanic,1854.2,74.37641723,Single,37500,9,40,32,34,NaN,NaN,NaN,598,240,224,572,881,657,348,452,142,953,NaN,631,1009,870,217,817,137,252,209,199,160,582,198,334,916,944,594,459,493,936,1836,11,550,543,844.6,835,847,852,10,614,1619,769,432,1099,74.82993197,0.523493648,-0.578873515,0,NaN
17,Female,46,Los Angles CA,West,White Collar,14,0,0.5,Economy,1997,Sedan,White,1574.8,99.77324263,Single,37500,8,NaN,NaN,NaN,20,20,42,572,240,201,495,765,564,294,455,144,1212,935,621,1102,686,263,739,125,236,189,180,157,574,197,530,1308,741,496,447,520,856,1590,47,749,774,757,756,746,769,31,785,1730,980,435,959,100.6802721,-0.618048251,1.960045338,1.898446679,3
24,Male,46,Los Angles CA,West,Management,16,1,0.5,Economy,NaN,Sedan,Hispanic,1752.6,88.43537415,Single,NaN,9,38,36,32,NaN,NaN,NaN,629,257,208,551,843,635,343,462,153,1088,NaN,621,1107,790,262,820,127,270,205,195,164,561,184,394,1052,895,543,480,519,940,1771,23,599,593,828.3,835,817,833,9,662,1759,943,483,1035,86.16780045,0.125897825,0.654883265,0,NaN
25,Male,41,Los Angles CA,West,Management,16,2,5,Economy,1998,Non-sedan,White,1854.2,99.77324263,Married,90000,10.5,44,38,32,NaN,NaN,NaN,603,279,242,571,890,648,329,451,137,1171,NaN,622,1144,795,250,824,118,274,218,205,156,600,206,411,1085,932,588,481,539,941,1829,18,628,644,884.6,879,891,884,11,605,1784,1005,549,1021,99.77324263,0.722410619,0.56837517,0,NaN
26,Male,28,Los Angles CA,Foreign,White Collar,16,0,5,Economy,1998,Sedan,Asian,1727.2,77.09750567,Single,52500,9,42,31,30,NaN,NaN,NaN,575,245,226,541,818,592,315,452,150,1042,NaN,575,1089,768,246,758,127,267,195,202,168,597,199,380,1012,862,537,484,539,894,1704,0,614,610,788,776,792,796,6.5,642,1630,845,419,1008,82.76643991,-0.750053227,1.031638384,0,NaN
27,Male,45,Los Angles CA,West,Management,16,0,8,Luxury,1996,Sedan,White,1701.8,65.75963719,Married,150000,9,40,34,30,NaN,NaN,NaN,568,248,232,532,815,583,300,397,141,998,NaN,602,988,786,234,765,120,254,197,181,155,574,199,380,956,846,540,450,489,884,1712,11,559,563,811,810,816,807,11,570,1594,846,426,991,69.61451247,-0.540817857,0.589867413,0,NaN
28,Male,35,Los Angles CA,West,Management,16,1,2.5,Luxury,1998,Sedan,Black,1676.4,88.43537415,Married,NaN,8.5,46,35,31,NaN,NaN,NaN,546,258,223,538,838,615,315,489,148,1122,NaN,615,1153,746,199,769,109,256,217,189,159,568,193,376,1063,837,534,484,550,874,1680,0,641,645,815.3,826,815,805,6.5,724,1636,966,418,1009,90.02267574,-1.38294363,0.465635419,0,NaN
29,Male,26,Los Angles CA,Midwest,Management,18,0,5,Luxury,1994,Sedan,White,1676.4,65.75963719,Single,52500,8,40,32,29,NaN,NaN,NaN,525,235,213,540,831,618,327,438,134,945,NaN,589,984,721,175,728,114,247,208,188,146,551,196,353,985,817,512,466,497,829,1637,9.5,570,569,799.3,793,804,801,12.5,613,1594,846,404,956,69.16099773,-1.679615021,0.073626213,0,NaN
30,Male,37,Los Angles CA,Midwest,Management,16,2,2.5,Economy,1997,Non-sedan,White,1828.8,83.90022676,Married,150000,10.5,42,34,32,NaN,NaN,NaN,609,262,214,546,861,647,332,442,139,1015,NaN,636,1062,824,233,824,132,278,209,212,151,569,196,380,1038,904,567,489,493,950,1819,13.5,590,602,817.6,815,820,818,8,655,1669,885,423,1073,81.40589569,0.043306388,-0.402892381,0,NaN
47,Male,25,Los Angles CA,Northeast,White Collar,16,0,2.5,Economy,1989,Sedan,Asian,1701.8,74.82993197,Single,NaN,9.5,NaN,33,32,NaN,NaN,NaN,552,257,208,520,806,598,312,459,138,988,NaN,625,1015,804,210,755,123,256,213,192,143,555,194,376,1034,913,560,440,489,854,1714,0,620,619,808.6,805,804,817,9,647,1590,863,403,1072,77.32426304,-0.436344922,-0.057599239,0,NaN
48,Male,38,Los Angles CA,West,Management,16,2,2.5,Economy,1997,Non-sedan,White,1854.2,93.87755102,Married,90000,11,44,34,33,NaN,NaN,NaN,652,271,224,551,870,646,327,480,146,1097,NaN,616,1129,807,288,864,114,276,221,208,156,574,206,392,1040,934,571,478,561,990,1840,23,609,612,815.6,817,811,819,12,738,1795,925,481,1093,93.87755102,1.083125591,0.114874892,0,NaN
49,Male,39,Los Angles CA,South,Management,16,0,10,Luxury,1994,Sedan,Black,1854.2,76.64399093,Single,52500,10.5,42,30,34,NaN,NaN,NaN,603,262,230,580,893,663,350,439,135,1022,NaN,638,1083,856,220,833,137,277,211,214,160,601,214,335,943,955,592,457,512,956,1854,13.5,571,544,833,838,826,835,2,630,1680,758,426,1107,76.64399093,-0.338784397,-1.176695704,0,NaN
50,Male,29,Los Angles CA,West,White Collar,16,0,5,Luxury,1994,Sedan,White,1854.2,92.06349206,Single,150000,10,42,34,32,NaN,NaN,NaN,590,265,229,562,865,636,333,441,139,1072,NaN,664,1108,823,233,805,122,257,214,203,152,584,204,427,1171,890,572,502,541,932,1803,22,672,667,800.3,789,807,805,30,670,1746,919,427,1062,93.42403628,0.046724051,0.143661544,0,NaN
51,Male,41,Los Angles CA,West,White Collar,14,3,5,Economy,1979,Non-sedan,Black,1778,66.66666667,Divorced/Widowed,17500,10.5,40,29,33,NaN,NaN,NaN,530,277,215,542,846,631,327,382,142,822,NaN,604,848,799,179,799,124,279,230,218,154,602,215,338,912,856,555,436,459,912,1753,10.5,489,583,832,815,845,836,6,609,1554,740,395,1017,63.71882086,-1.884421587,-1.228659987,0,NaN
52,Female,27,Los Angles CA,West,White Collar,NaN,0,8,Economy,1994,Sedan,White,1574.8,47.16553288,Single,NaN,5.5,NaN,NaN,NaN,4,4,32,555,215,178,459,695,517,281,315,127,805,683,535,781,721,248,719,114,226,170,177,145,538,173,364,911,750,471,405,389,846,1583,7,516,526,687.6,683,691,689,12,612,1423,580,332,965,47.16553288,-1.558591962,-1.193714857,0.600424767,2
53,Female,53,Los Angles CA,Foreign,White Collar,14,1,2.5,Luxury,1996,Sedan,White,1562.1,58.9569161,Divorced/Widowed,150000,7,NaN,NaN,NaN,8,8,36,560,239,198,471,721,523,273,410,131,997,839,557,939,684,254,748,121,241,190,178,154,560,192,377,987,731,483,406,466,863,1576,22,562,582,723.6,706,745,720,17,687,1578,782,419,939,62.35827664,-1.659376264,0.545175493,-0.729827285,3
54,Female,29,Los Angles CA,West,White Collar,16,1,2.5,Luxury,1994,Sedan,,1625.6,74.82993197,Married,70000,8.5,NaN,NaN,NaN,11,12,36,576,238,194,510,773,579,316,403,134,958,784,577,913,716,232,772,113,249,186,190,143,534,178,464,1132,737,495,413,467,876,1619,24,705,721,747.6,744,754,745,28,760,1576,795,345,1009,75.73696145,-0.388429135,-0.200591877,1.606510997,2
55,Female,47,Los Angles CA,Northeast,White Collar,NaN,2,5,Economy,1985,Sedan,White,1574.8,67.12018141,Married,52500,5.5,NaN,NaN,NaN,11,12,36,560,246,205,498,745,540,293,443,126,987,878,566,969,678,243,751,114,223,187,174,142,540,182,414,1054,746,481,403,470,859,1584,23,600,609,732.6,734,740,724,18,757,1615,809,355,980,67.12018141,-0.684185386,0.814432442,0.677663267,3
56,Female,22,Los Angles CA,Midwest,Service,16,1,5,Economy,1989,Sedan,Black,1498.6,52.15419501,Married,37500,5.5,NaN,NaN,NaN,6,8,38,498,215,186,452,698,512,266,331,130,921,728,550,847,674,198,672,106,221,169,155,141,552,180,399,1002,725,461,363,429,784,1466,21,599,586,639.6,646,637,636,23,565,1348,735,352,889,51.92743764,-2.940958023,0.065146953,1.122700095,3
57,Male,38,Los Angles CA,West,Management,18,3,8,Economy,1997,Non-sedan,Asian,1752.6,79.36507937,Married,150000,8,38,32,31,NaN,NaN,NaN,615,262,232,544,824,592,312,422,152,950,NaN,590,1026,749,261,805,125,255,207,191,163,588,202,379,994,847,526,432,500,926,1721,19,594,596,804.3,794,815,804,8,650,1717,854,454,1002,78.00453515,-0.536762655,0.446197152,0,NaN
58,Male,26,Los Angles CA,Northeast,White Collar,18,0,8,Luxury,1986,Sedan,White,1778,79.36507937,Single,52500,11,44,34,34,NaN,NaN,NaN,619,264,211,540,857,646,329,444,137,999,NaN,606,1032,809,249,800,123,284,211,210,146,544,190,372,989,874,561,445,507,918,1765,8.5,571,575,822,818,821,827,6,623,1651,831,437,1036,74.14965986,-0.207596034,-0.52472502,0,NaN
59,Male,25,Los Angles CA,<undefined>,Management,16,0,8,Luxury,1995,Sedan,Asian,1676.4,73.92290249,Single,37500,8.5,42,36,28,NaN,NaN,NaN,532,246,205,499,785,580,294,442,141,1013,NaN,620,1052,749,214,717,110,258,200,191,150,546,186,376,1004,814,524,427,513,845,1655,24,594,600,776.3,773,782,774,15,599,1624,945,446,960,75.28344671,-1.372364879,0.027515203,0,NaN
60,Female,48,Los Angles CA,Midwest,White Collar,12,1,0.5,Luxury,1980,Sedan,White,1714.5,79.36507937,Single,37500,9.5,NaN,NaN,NaN,12,12,36,616,252,201,521,809,608,320,401,142,984,867,614,976,798,254,794,123,253,198,186,150,560,191,423,1065,874,545,431,481,901,1721,33,650,630,777,775,784,772,27,749,1641,810,370,1096,76.41723356,1.251404166,-0.325546503,-0.391753316,2
62,Male,25,Los Angles CA,West,Management,16,0,10,Luxury,1994,Sedan,White,1803.4,68.02721088,Single,37500,10.5,NaN,30,33,NaN,NaN,NaN,601,249,209,531,856,647,322,415,138,946,NaN,606,988,837,230,807,117,271,197,200,151,576,198,362,946,896,562,477,494,936,1799,9,536,531,809.3,814,811,806,7.5,614,1592,776,382,1096,70.52154195,-0.395415843,-1.091900945,0,NaN
63,Male,38,Los Angles CA,Northeast,White Collar,16,2,8,Economy,1997,Sedan,White,1905,108.8435374,Married,52500,12,44,38,34,NaN,NaN,NaN,604,292,274,608,922,648,334,508,146,1223,NaN,676,1245,833,240,817,125,284,225,206,158,601,210,415,1128,929,603,488,609,928,1857,22.5,663,673,879,882,875,880,14,685,1856,1015,530,1094,116.0997732,1.415170431,0.121594869,0,NaN
64,Female,22,Los Angles CA,Northeast,White Collar,16,0,5,Luxury,1994,Sedan,Black,1600.2,54.42176871,Single,37500,7,NaN,NaN,NaN,6,4,32,532,225,188,492,775,587,304,385,139,872,735,558,867,732,200,721,107,228,178,183,154,562,194,360,934,778,505,415,436,841,1601,14,556,546,719.3,721,715,722,16,624,1459,683,352,984,54.87528345,-1.60604775,-1.652068377,1.407912731,2
65,Female,40,Los Angles CA,West,Management,16,1,8,Economy,1997,Sedan,White,1727.2,62.58503401,,150000,8,NaN,NaN,NaN,11,10,34,550,239,185,516,804,619,331,382,132,941,754,630,890,865,194,754,112,244,184,192,145,544,189,361,942,896,554,416,434,869,1740,19,555,562,797,797,794,800,10,680,1515,727,323,1122,63.26530612,0.98882997,-1.341411591,-0.748179972,4
67,Female,33,Los Angles CA,West,White Collar,16,0,0.5,Economy,1998,Sedan,White,1625.6,58.9569161,Single,37500,7,NaN,NaN,NaN,8,8,36,578,229,195,498,754,559,303,374,125,911,812,561,902,721,246,760,114,235,180,182,137,535,190,384,988,770,491,418,436,870,1611,15,574,577,723.6,712,731,728,20,636,1542,720,356,957,60.09070295,-0.918611467,-0.114684083,-0.382571757,2
68,Male,41,Los Angles CA,Midwest,White Collar,16,2,2.5,Luxury,1981,Sedan,White,1905,104.30839,Married,70000,11,44,38,34,NaN,NaN,NaN,682,274,209,571,891,682,362,458,152,1133,NaN,676,1178,830,282,844,123,283,213,214,165,592,202,425,1112,949,596,505,534,973,1886,19.5,638,629,833.3,834,836,830,8,724,1844,1018,475,1102,103.4013605,1.682196617,-0.269577891,0,NaN
69,Female,29,Los Angles CA,West,White Collar,16,1,5,Economy,1994,Sedan,Asian,1651,58.04988662,Married,70000,7.5,NaN,NaN,NaN,4,4,34,590,238,197,497,735,538,300,402,137,872,735,550,873,742,267,779,118,235,190,178,151,560,187,389,975,763,497,387,434,904,1647,13,577,583,730.3,731,729,731,8.5,675,1526,663,361,1017,60.09070295,-0.713327169,-0.312890708,1.080272555,2
70,Female,36,Los Angles CA,West,White Collar,18,0,5,Economy,1998,Sedan,Asian,1676.4,64.85260771,Divorced/Widowed,37500,8,NaN,NaN,NaN,8,10,34,594,238,212,525,788,576,313,390,143,1000,853,553,986,735,252,762,109,240,191,186,141,549,192,375,952,796,501,448,466,884,1645,33,545,545,789.3,786,790,792,17,712,1598,843,355,1022,65.53287982,-0.247384667,-0.410132855,-0.756772399,1
71,Male,35,Los Angles CA,West,Management,16,2,2.5,Economy,1997,Non-sedan,White,1943.1,87.98185941,Married,150000,12,44,36,36,NaN,NaN,NaN,655,272,224,584,895,671,360,473,150,1012,NaN,625,1029,883,266,867,118,281,224,219,160,586,200,398,1040,993,594,503,512,990,1926,21,594,605,884,893,879,880,10.5,710,1794,927,444,1160,89.34240363,1.487427115,-0.952644885,0,NaN
72,Female,34,Los Angles CA,West,Service,16,0,5,Luxury,1991,<undefined>,,1625.6,51.24716553,Single,NaN,6,NaN,NaN,NaN,4,4,NaN,548,210,201,491,762,561,290,334,140,785,685,584,798,772,229,761,123,232,170,180,151,545,181,364,953,807,504,412,410,862,1625,25,549,528,784.6,774,786,794,24.5,666,1431,611,320,1029,51.92743764,-0.462982208,-0.61634016,-0.406182468,NaN
73,Male,32,Los Angles CA,West,Management,18,0,5,Economy,1998,Sedan,Asian,1778,88.43537415,Married,150000,10.5,42,33,32,NaN,NaN,NaN,665,257,212,544,837,625,332,488,156,1085,NaN,603,1087,791,305,845,120,264,210,197,167,589,206,387,1026,891,561,481,561,965,1791,0,630,629,814.3,811,807,825,4,675,1767,899,437,1058,90.47619048,0.15959692,0.074100576,0,NaN
74,Female,24,Los Angles CA,West,White Collar,16,0,2.5,Luxury,1994,Sedan,White,1625.6,54.42176871,Single,70000,6.5,NaN,NaN,NaN,4,4,34,570,222,182,494,752,570,312,353,127,838,693,560,812,754,246,758,113,233,174,170,142,545,188,365,930,778,495,412,415,870,1627,15,526,525,729,721,742,724,16,572,1470,708,379,975,51.02040816,-0.562498152,-1.226469994,0.303195238,2
75,Female,32,Los Angles CA,West,White Collar,16,0,5,Economy,1998,Sedan,White,1651,NaN,Single,37500,7,NaN,NaN,NaN,NaN,7,34,575,237,212,530,802,590,318,368,128,910,768,577,885,724,245,783,117,230,186,178,143,560,193,421,1035,735,494,404,441,896,1645,14,611,603,757.6,750,758,765,16,685,1539,679,348,1006,63.71882086,-0.44358933,-0.145200402,0.125495657,2
76,Female,46,Los Angles CA,Northeast,Management,21,1,0.5,Economy,1998,Sedan,White,1530.35,63.49206349,Married,150000,6,NaN,NaN,NaN,8,10,36,523,226,207,497,752,545,290,389,126,990,798,565,928,702,207,736,109,224,184,171,144,546,187,453,1075,738,489,413,449,828,1557,15,652,646,671,677,662,674,18,664,1501,700,372,971,65.75963719,-1.279518604,0.328107327,1.762285709,4
78,Female,48,Los Angles CA,Foreign,Management,16,1,5,Economy,1995,Non-sedan,White,1676.4,57.14285714,Married,150000,9,NaN,NaN,NaN,6,6,34,596,243,200,502,771,571,302,365,137,885,776,551,851,749,253,781,111,261,193,192,151,569,197,381,969,759,522,400,424,902,1669,9,531,552,741,742,736,745,15,673,1547,661,355,1018,58.73015873,-0.362483889,-0.668758929,1.304340482,2
79,Male,28,Los Angles CA,Northeast,Management,18,0,8,Luxury,1994,Sedan,White,1778,77.09750567,Single,52500,9.5,42,32,30,NaN,NaN,NaN,611,266,215,539,837,622,324,409,137,995,NaN,598,991,779,253,802,118,258,199,195,155,578,201,386,1035,831,537,453,495,927,1736,15,601,602,824.3,822,825,826,7,696,1655,793,394,1054,78.23129252,-0.706237733,-0.104092807,0,NaN
80,Male,36,Los Angles CA,West,Management,18,1,0.5,Economy,1996,Sedan,White,1828.8,86.16780045,Married,150000,10,40,34,32,NaN,NaN,NaN,651,272,215,540,831,616,325,437,139,973,NaN,626,1023,787,293,865,127,270,220,206,153,587,202,404,1089,875,558,445,490,986,1810,13,622,617,812,811,810,815,16.5,640,1796,900,493,1020,85.94104308,0.345400214,0.062091962,0,NaN
81,Male,40,Los Angles CA,West,White Collar,16,2,2.5,Economy,1997,Non-sedan,White,1898.65,97.50566893,Married,70000,11,44,38,33,NaN,NaN,NaN,643,283,218,554,874,656,336,469,143,1079,NaN,641,1103,861,264,861,125,273,236,211,155,574,195,396,1059,958,606,480,528,976,1879,26,617,612,871,871,879,863,16,619,1782,936,522,1088,97.50566893,1.435349464,-0.05615912,0,NaN
82,Male,33,Los Angles CA,West,Management,16,4,2.5,Luxury,1994,Sedan,White,1828.8,136.0544218,Married,70000,11.5,46,46,32,NaN,NaN,NaN,676,284,217,575,894,677,358,529,148,1324,NaN,657,1285,795,306,858,131,279,227,209,157,587,207,464,1291,918,578,529,630,977,1816,44,765,745,840.6,843,844,835,19,668,1957,1186,617,1019,138.0952381,0.969145775,1.886382937,0,NaN
83,Female,48,Los Angles CA,South,White Collar,18,0,2.5,Economy,1997,Non-sedan,Black,1612.9,54.42176871,Married,70000,7,NaN,NaN,NaN,8,8,34,481,218,201,515,804,603,314,354,135,844,706,586,840,789,145,716,122,240,178,179,144,548,194,391,957,818,520,380,431,816,1622,13,551,557,752.3,749,759,749,16,656,1398,647,306,1025,54.87528345,-1.02369082,-1.097008348,0.12327861,2
84,Female,50,Los Angles CA,Midwest,White Collar,NaN,2,2.5,Economy,1998,Sedan,White,1778,77.09750567,Divorced/Widowed,52500,9.5,NaN,NaN,NaN,14,14,40,613,246,201,511,795,594,310,390,128,1064,856,603,961,778,257,808,119,256,182,185,142,571,201,435,1097,845,531,436,465,937,1740,25,624,616,779.6,776,804,759,21,732,1641,879,382,1060,78.00453515,-0.206006095,-1.5560776,3.063591719,3
85,Male,48,Los Angles CA,Midwest,Management,21,1,8,Luxury,1987,Sedan,White,1828.8,77.09750567,Married,90000,9.5,42,33,34,NaN,NaN,NaN,613,264,210,559,822,612,349,451,143,960,NaN,634,999,850,228,815,114,267,218,205,156,559,195,362,1004,913,577,480,494,936,1818,7,576,579,857.6,854,858,861,8,624,1689,831,438,1076,77.55102041,-0.156301856,-1.092637777,0,NaN
86,Female,42,Los Angles CA,Midwest,White Collar,18,1,0.5,Luxury,1994,Sedan,White,1625.6,88.43537415,Married,150000,8,NaN,NaN,NaN,14,16,38,597,250,182,507,779,597,325,487,128,1102,920,631,1034,710,246,752,113,242,192,176,145,553,189,487,1210,805,520,415,496,855,1616,37.5,766,742,724.6,720,725,729,32.5,777,1697,955,405,999,93.19727891,-0.113796234,1.559724927,1.224059701,3
87,Female,49,Los Angles CA,South,White Collar,16,0,0.5,Economy,1986,Sedan,White,1689.1,68.93424036,Married,90000,9,NaN,NaN,NaN,12,12,38,561,238,199,508,778,579,309,379,131,1009,825,598,975,762,213,767,110,252,182,182,145,550,190,433,1067,821,527,403,469,872,1671,22,629,633,775,777,787,761,22,735,1583,747,352,1044,70.06802721,0.269070417,0.097165227,-0.716121137,3
88,Male,44,Los Angles CA,West,Management,16,0,2.5,Economy,1997,Sedan,White,1727.2,71.6553288,Single,90000,7.5,38,33,29,NaN,NaN,NaN,603,258,208,515,801,593,307,389,138,981,NaN,579,988,756,257,797,124,249,197,187,150,545,190,358,968,834,528,461,480,908,1694,11.5,573,575,785,778,792,785,13,616,1649,822,473,992,73.92290249,-0.581386089,0.215565592,0,NaN
89,Female,36,Los Angles CA,South,Management,16,0,2.5,Luxury,1994,Sedan,White,1676.4,52.15419501,Single,70000,6,NaN,NaN,NaN,6,6,36,572,221,181,483,757,576,302,342,126,881,728,572,844,808,245,735,111,230,172,172,143,560,199,359,895,878,517,420,416,857,1679,15,479,488,733,735,744,720,12.5,633,1480,706,357,1065,51.24716553,0.692316353,-0.716689765,-0.225475907,2
90,Female,40,Los Angles CA,West,White Collar,18,0,5,Luxury,1997,Sedan,Asian,1625.6,54.42176871,Married,NaN,8.5,NaN,NaN,NaN,4,4,32,535,238,192,506,785,593,314,343,139,834,725,585,812,756,183,753,119,253,179,198,159,579,195,376,958,785,508,411,405,857,1634,11,560,562,792.6,798,784,796,9,673,1472,681,339,1015,56.46258503,-0.654016197,-1.639768839,0.488170773,1
92,Female,49,Los Angles CA,West,Management,14,3,5,Luxury,NaN,Non-sedan,Black,1549.4,70.29478458,Married,150000,8,NaN,NaN,NaN,12,14,34,538,234,196,499,764,568,303,398,137,991,822,625,946,729,204,711,106,238,190,178,145,548,184,433,1103,790,500,388,473,816,1582,28,659,659,717.3,722,721,709,23,748,1610,817,361,980,69.84126984,-1.292778134,-0.461603671,1.923024058,2
93,Female,50,Los Angles CA,Foreign,White Collar,16,0,2.5,Luxury,1994,Sedan,White,1574.8,58.9569161,Married,52500,7,NaN,NaN,NaN,8,10,34,543,226,179,472,733,554,293,408,132,900,756,581,881,700,213,706,107,234,191,177,152,539,178,401,1019,NaN,498,392,432,813,1546,13,589,598,742,762,735,729,21,703,1528,716,309,969,59.63718821,-1.334957242,0.1195921,-0.229995728,1
